apt name, street, city, state, zip code, min price, amenities, recent viewed, url
5440 Thornburn Street, 5440 Thornburn Street, Los Angeles, CA, 90045, 1950, Cats Allowed; Dogs Allowed; Small Dogs Allowed, 66, https://hotpads.com/1-bed-681-sqft-1950-los-angeles-ca-90045-1m2qe3r/pad
6135 1/2 Saturn Street, 6135 1/2 Saturn Street, Los Angeles, CA, 90035, 2550, , 35, https://hotpads.com/2-bed-2550-los-angeles-ca-90035-1tzegwf/pad
6712 W Olympic Boulevard, 6712 W Olympic Boulevard, Los Angeles, CA, 90048, 2175, , 37, https://hotpads.com/1-bed-2175-los-angeles-ca-90048-sm7249/pad
645 W 11th Street, 645 W 11th Street, San Pedro, CA, 90731, 2350, 1 year lease.; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Garage; Laundry: Hookups; Laundry: In Unit; Washer; Washer/Dryer Hookups; Water included in rent; built-in oven; built-in stove; family room w/ceiling fan; gardener paid; large living room; leaded glass bay window; main bathroom has separate shower and tub; non-smoking building; paints been touched up; units been cleaned; window coverings and curtains, 12, https://hotpads.com/3-bed-15-bath-2350-san-pedro-ca-90731-1ty2hwc/pad
374 3/4 S Loma Drive, 374 3/4 S Loma Drive, Los Angeles, CA, 90017, 2195, , 38, https://hotpads.com/2-bed-1050-sqft-2195-los-angeles-ca-90017-1q3wabj/pad
36th Street, 1180 W 36th Place, Los Angeles, CA, 90007, 4375, Bicycle Storage; Building Application Fee: 35; Building Deposit Fee Maximum: 4000; Building Deposit Fee Minimum: 3000; Cats Allowed; Flooring: Hardwood; Freezer; Garbage Disposal; Heating: Electric; Internet included in rent; Laundry: Shared; Microwave Oven; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Range; Refrigerator; Security: Controlled Access; Security: Gated Entry; Stories: 2, 5, https://hotpads.com/36th-street-los-angeles-ca-90007-tyam66/pad
15758 Sherman Way, 15758 Sherman Way, Van Nuys, CA, 91406, 2745, Cats Allowed; Dogs Allowed, 9, https://hotpads.com/3-bed-2745-van-nuys-ca-91406-sm1xy4/pad
26 Breeze, 26 Breeze, Venice, CA, 90291, 1995, , 83, https://hotpads.com/26-breeze-ave-venice-ca-90291-sm13y2/pad
5939 Monte Vista Street, 5939 Monte Vista Street, Los Angeles, CA, 90042, 2650, , 16, https://hotpads.com/2-bed-2650-los-angeles-ca-90042-1m2q06t/pad
518 1/2 N Spaulding Avenue, 518 1/2 N Spaulding Avenue, Los Angeles, CA, 90036, 2295, , 87, https://hotpads.com/2-bed-2295-los-angeles-ca-90036-1q569as/pad
25th Street, 1137 25th Street, Los Angeles, CA, 90007, 1320, Bicycle Storage; Building Application Fee: 35; Building Deposit Fee Maximum: 1200; Building Deposit Fee Minimum: 1000; Cats Allowed; Ceiling Fan; Flooring: Hardwood; Garbage Disposal; Heating: Gas; High-speed Internet Ready; Internet included in rent; Laundry: Shared; Microwave Oven; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Range; Refrigerator; Security: Controlled Access; Security: Gated Entry, 36, https://hotpads.com/25th-street-los-angeles-ca-90007-snt4hd/pad
21 Reef Street, 21 Reef Street, Marina Del Rey, CA, 90292, Call, Attached Garage; Cable TV Ready; Cats Allowed; Dryer; Fenced Yard; Fireplace; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Guest parking; Heating system: Heat: forced air; Hot Tub; Jetted Bathtub; Laundry: In Unit; Master bath; Microwave Oven; Near Transportation; No Utilities included in rent; Off Street Parking; Parking Spaces: 3; Patio Balcony; Refrigerator; Small Dogs Allowed; Sprinkler System; Storage Space; Washer; Yard; Year Built: 2005; Alarm; Granite countertop; Jacuzzi / Whirlpool; Range/Oven; Stainless steel appliances; Vaulted Ceiling; Wetbar; Wired, 24, https://hotpads.com/21-reef-st-marina-del-rey-ca-90292-tznm9y/pad
940 1/2 N Martel Avenue, 940 1/2 N Martel Avenue, Los Angeles, CA, 90046, 2200, , 54, https://hotpads.com/1-bed-2200-los-angeles-ca-90046-wcxj55/pad
8 Brooks Avenue, 8 Brooks Avenue, Venice, CA, 90291, 2850, , 22, https://hotpads.com/8-brooks-ave-venice-ca-90291-skt61v/pad
1657 W 227th Street, 1657 W 227th Street, Torrance, CA, 90501, 1595, Dryer; Flooring: Carpet; Flooring: Vinyl; Laundry: In Unit; Off Street Parking; One Year Lease; Parking Lot; Range; Washer; Washer/Dryer Hookups; Water included in rent, 68, https://hotpads.com/2-bedroom-1-bathroom-in-torrance-torrance-ca-90501-1n23bem/pad
1122 S Shenandoah Street, 1122 S Shenandoah Street, Los Angeles, CA, 90035, 2495, Cats Allowed; Dogs Allowed; Garbage Disposal; Oven; Parking -; Patio Balcony; Range; Refrigerator; Small Dogs Allowed; Unfurnished -; Washer; Water included in rent, 48, https://hotpads.com/2-bed-10-bath-1200-sqft-2495-los-angeles-ca-90035-1n1wvhh/pad
20 Ironsides Street, 20 Ironsides Street, Marina Del Rey, CA, 90292, 4000, , 15, https://hotpads.com/20-ironsides-st-marina-del-rey-ca-90292-skpzt9/pad
256 S Rampart Boulevard, 256 S Rampart Boulevard, Los Angeles, CA, 90057, 2050, Cats Allowed; Dogs Allowed; Small Dogs Allowed, 58, https://hotpads.com/2-bed-2050-los-angeles-ca-90057-synya2/pad
6064 Colfax Avenue, 6064 Colfax Avenue, North Hollywood, CA, 91606, 2595, Air Conditioning; Assigned Outdoor Parking; Cable TV Ready; Elevator; Garbage Disposal; Laundry: Hookups; Microwave Oven; Pets Allowed; Refrigerator; Stove; Townhouse; Washer; Washer/Dryer Hookups; Year Built: 2016; Cable-ready*; Ceiling Fans*; Central Air Conditioning*; Dishwasher*; Elevator*; Garbage Disposal*; High Ceilings*; Microwave*; Pets Allowed*; Refrigerator*; Stove*; Townhouse*; W/D Hookups*, 14, https://hotpads.com/2-bed-25-bath-1239-sqft-2595-north-hollywood-ca-91606-1m3wz6c/pad
844 S Mansfield Avenue, 844 S Mansfield Avenue, Los Angeles, CA, 90036, 2595, , 41, https://hotpads.com/2-bed-15-bath-2595-los-angeles-ca-90036-sumg4x/pad
N Alta Vista Boulevard, N Alta Vista Boulevard, Los Angeles, CA, 90046, 2850, Cats Allowed; Dogs Allowed; Garage; Laundry: Shared; Range; Small Dogs Allowed; Unfurnished -; Water included in rent, 12, https://hotpads.com/1-bed-10-bath-3500-los-angeles-ca-90046-t6dp3s/pad
10485 National Boulevard, 10485 National Boulevard, Los Angeles, CA, 90034, 2095, Air Conditioning; Garbage Disposal; Oven; Parking -; Range; Refrigerator; Washer; Water included in rent, 22, https://hotpads.com/1-bed-15-bath-700-sqft-2095-los-angeles-ca-90034-swe81d/pad
25 Navy Street, 25 Navy Street, Venice, CA, 90291, 1218, , 40, https://hotpads.com/25-navy-st-venice-ca-90291-sp071m/pad
36th Place, 1137 W 36th Place, Los Angeles, CA, 90007, 1485, 24 Hour Maintenance; Air Conditioning; Bicycle Storage; Building Application Fee: 35; Building Deposit Fee Minimum: 1000; Cats Allowed; Dishwasher; Flooring: Laminate; Flooring: Vinyl; Freezer; Garbage Disposal; Heating: Electric; High-speed Internet Ready; Internet included in rent; Laundry: Shared; Microwave Oven; On-Site Management; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Parking Lot; Range; Refrigerator; Security: Controlled Access; Security: Gated Entry; Spanish Speaking Staff; Stories: 2, 86, https://hotpads.com/36th-place-los-angeles-ca-90007-ttuh17/pad
6516 Brynhurst Avenue, 6516 Brynhurst Avenue, Los Angeles, CA, 90043, 2495, No Utilities included in rent, 23, https://hotpads.com/3-bed-1350-sqft-2495-los-angeles-ca-90043-1ttnkxw/pad
1462 Federal Avenue, 1462 Federal Avenue, Los Angeles, CA, 90025, 2350, Laundry: Shared, 102, https://hotpads.com/2-bed-2350-los-angeles-ca-90025-1m2m00d/pad
5544 Lexington Avenue, 5544 Lexington Avenue, Los Angeles, CA, 90038, 1975, Dogs Allowed; Laundry: Hookups; Small Dogs Allowed; Washer/Dryer Hookups, 83, https://hotpads.com/2-bed-1975-los-angeles-ca-90038-ssj63u/pad
535 S Curson Avenue #1H, 535 S Curson Avenue #1H, Los Angeles, CA, 90036, Call, Fitness Center; Jetted Bathtub; Microwave Oven; Swimming Pool; Washer, 13, https://hotpads.com/1h/pad
17809 Superior Street, 17809 Superior Street, Northridge, CA, 91325, 2195, Dogs Allowed; Dryer; Electricity included in rent; Elevator; Fitness Center; Flooring: Carpet; Flooring: Hardwood; Gated Parking; Heating: Other; Laundry: In Unit; On-Site Maintenance; On-Site Management; Recreation Room; Secured Entry; Security: Controlled Access; Swimming Pool; Washer; Water included in rent; Cable/Internet Ready; Contemporary Stone Counters; Stainless Steel Appliances, 23, https://hotpads.com/15-nmssuperior-northridge-ca-91325-skyhd6/pad
28 Sunset Avenue, 28 Sunset Avenue, Venice, CA, 90291, 1595, , 225, https://hotpads.com/28-sunset-ave-venice-ca-90291-sp0fj0/pad
813 S Union Avenue, 813 S Union Avenue, Los Angeles, CA, 90017, 1995, Air Conditioning; Cats Allowed; Dogs Allowed; Garbage Disposal; Laundry: Shared; Microwave Oven; Parking -; Patio Balcony; Range; Refrigerator; Small Dogs Allowed; Unfurnished -; Washer, 81, https://hotpads.com/2-bed-10-bath-800-sqft-1995-los-angeles-ca-90017-w2pd7k/pad
10580 Wilshire #11SE, 10580 Wilshire #11SE, Los Angeles, CA, 90024, Call, Dryer; Elevator; Fireplace; Fitness Center; Flooring: Carpet; Flooring: Tile; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18305730; Swimming Pool; View Type: City View; View Type: Mountain View; Washer; Year Built: 1991; Concierge; Spa, 7, https://hotpads.com/11se/pad
118 1/2 S Sycamore Avenue, 118 1/2 S Sycamore Avenue, Los Angeles, CA, 90036, 3095, Cats Allowed; Dogs Allowed; Large Dogs Allowed; Small Dogs Allowed, 37, https://hotpads.com/2-bed-3095-los-angeles-ca-90036-1tyhccn/pad
372 S Columbia Avenue, 372 S Columbia Avenue, Los Angeles, CA, 90017, 1895, , 61, https://hotpads.com/2-bed-15-bath-1200-sqft-1895-los-angeles-ca-90017-1m2ju9p/pad
1960 S Holt Avenue #12A, 1960 S Holt Avenue #12A, Los Angeles, CA, 90034, Call, Cats Allowed; Dryer; Garbage not included in rent; Laundry: In Unit; Laundry: Shared; PETS UNDER 25LBS OK; Patio Balcony; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Washer; Water not included in rent, 152, https://hotpads.com/12a/pad
12246 Moorpark Street, 12246 Moorpark Street, Studio City, CA, 91604, 3250, Cats Allowed; Dogs Allowed; Dryer; Elevator; Garbage Disposal; Laundry: In Unit; Microwave Oven; Oven; Parking -; Patio Balcony; Range; Refrigerator; Small Dogs Allowed; Washer, 44, https://hotpads.com/2-bed-20-bath-1276-sqft-3250-studio-city-ca-91604-skt604/pad
834 N Alta Vista Boulevard, 834 N Alta Vista Boulevard, Los Angeles, CA, 90046, 2195, Cats Allowed; Dogs Allowed; Dryer; Laundry: In Unit; Small Dogs Allowed; Washer; secured building, 107, https://hotpads.com/1-bed-2195-los-angeles-ca-90046-1tzf237/pad
1226 W Adams Boulevard #1D, 1226 W Adams Boulevard #1D, Los Angeles, CA, 90007, Call, , 5, https://hotpads.com/1d/pad
1416 S Genesee Avenue, 1416 S Genesee Avenue, Los Angeles, CA, 90019, 2350, Cats Allowed; Dogs Allowed; Garage; Range; Range Hood; Refrigerator; Small Dogs Allowed; Washer; Yard -, 21, https://hotpads.com/1-bed-750-sqft-2350-los-angeles-ca-90019-1n1vddy/pad
30 Dudley Avenue, 30 Dudley Avenue, Venice, CA, 90291, 1698, , 24, https://hotpads.com/30-dudley-ave-venice-ca-90291-1m2zhym/pad
1162 1/2 N Madison Avenue, 1162 1/2 N Madison Avenue, Los Angeles, CA, 90029, 1795, Cats Allowed; Dogs Allowed; Small Dogs Allowed, 93, https://hotpads.com/1-bed-1795-los-angeles-ca-90029-1pn7t67/pad
535 W 21st Street, 535 W 21st Street, San Pedro, CA, 90731, 1350, Detached Garage; Dryer; Garage; Garbage Disposal; Laundry: In Unit; Range; Washer; Washer/Dryer Hookups; Water included in rent, 61, https://hotpads.com/1-bedroom-1-bathroom-in-san-pedro-san-pedro-ca-90731-1n24e5c/pad
1435 1/2 N Las Palmas Avenue, 1435 1/2 N Las Palmas Avenue, Los Angeles, CA, 90028, 2350, , 51, https://hotpads.com/2-bed-2350-los-angeles-ca-90028-1pg2ynm/pad
228 3/4 S Fuller Avenue, 228 3/4 S Fuller Avenue, Los Angeles, CA, 90036, 2195, Garbage included in rent; Water included in rent, 55, https://hotpads.com/1-bed-2195-los-angeles-ca-90036-1q2ev01/pad
14942 Burbank Boulevard, 14942 Burbank Boulevard, Sherman Oaks, CA, 91411, 1895, Air Conditioning; Cats Allowed; Dogs Allowed; Garbage Disposal; Large Dogs Allowed; Laundry: Shared; Oven; Parking -; Patio Balcony; Range; Small Dogs Allowed; Swimming Pool; Washer; Water included in rent, 15, https://hotpads.com/1-bed-10-bath-1895-van-nuys-ca-91411-tty8a8/pad
1577 W 29th Street, 1577 W 29th Street, Los Angeles, CA, 90007, 1200, , 132, https://hotpads.com/1-bed-1200-los-angeles-ca-90007-1n1txck/pad
756 S Plymouth Boulevard, 756 S Plymouth Boulevard, Los Angeles, CA, 90005, 1850, Apply on Web-Site: www.alliancela.com; Assigned Covered Parking; Garbage Disposal; Laundry: Shared; Year Built: 1952; Apply on Web-Site: www.alliancela.com*; Assigned Parking = 1*, 23, https://hotpads.com/1-bed-10-bath-750-sqft-1850-los-angeles-ca-90005-snnk09/pad
914 S Wooster Street, 914 S Wooster Street, Los Angeles, CA, 90035, 2895, Air Conditioning; Cats Allowed; Dogs Allowed; Elevator; Garbage Disposal; Laundry: Shared; Microwave Oven; Oven; Parking -; Range; Refrigerator; Small Dogs Allowed; Unfurnished -; Washer; Water included in rent, 17, https://hotpads.com/2-bed-25-bath-1200-sqft-2895-los-angeles-ca-90035-ttv13s/pad
12711 Pacific Avenue #8A, 12711 Pacific Avenue #8A, Los Angeles, CA, 90066, Call, Cats Allowed; Laundry: Shared; Microwave Oven; Small Dogs Allowed; Wired, 104, https://hotpads.com/8a/pad
4 Jib Street, 4 Jib Street, Marina Del Rey, CA, 90292, 8995, , 13, https://hotpads.com/4-jib-st-marina-del-rey-ca-90292-sn8mb2/pad
1417 1/4 S Sierra Bonita Avenue, 1417 1/4 S Sierra Bonita Avenue, Los Angeles, CA, 90034, 1950, Cats Allowed; Dogs Allowed; Garage; Large Dogs Allowed; Laundry: Shared; Small Dogs Allowed; open courtyard; pet friendly up to 90 lbs; walkable area, 38, https://hotpads.com/1-bed-1950-los-angeles-ca-90019-1txr2zh/pad
5842 Camerford Avenue, 5842 Camerford Avenue, Los Angeles, CA, 90038, 1695, , 94, https://hotpads.com/1-bed-10-bath-650-sqft-1695-los-angeles-ca-90038-spe6m3/pad
35 24th Avenue, 35 24th Avenue, Venice, CA, 90291, 3800, , 45, https://hotpads.com/35-24th-ave-venice-ca-90291-ttyq2v/pad
6016 Eleanor Avenue, 6016 Eleanor Avenue, Los Angeles, CA, 90038, 2450, Cats Allowed; Dogs Allowed; Large Dogs Allowed; Small Dogs Allowed, 16, https://hotpads.com/2-bed-2450-los-angeles-ca-90038-ttuq6y/pad
